match_id_unique,team,opposition,match_result,match_date,venue,season,toss_winner,toss_decision,won,lost,tied,toss_won
S2_M25,Janakpur Bolts (NPL),Lumbini Lions (NPL),Loss,2025-12-05,"Tribhuvan University International Cricket Ground, Kirtipur",2,Janakpur Bolts (NPL),Bat,0,1,0,1
S2_M25,Lumbini Lions (NPL),Janakpur Bolts (NPL),Win,2025-12-05,"Tribhuvan University International Cricket Ground, Kirtipur",2,Janakpur Bolts (NPL),Bat,1,0,0,0
S2_M26,Biratnagar Kings (NPL),Sudur Paschim Royals (NPL),Win,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur",2,Biratnagar Kings (NPL),Field,1,0,0,1
S2_M26,Sudur Paschim Royals (NPL),Biratnagar Kings (NPL),Loss,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur",2,Biratnagar Kings (NPL),Bat,0,1,0,0
S2_M27,Chitwan Rhinos (NPL),Pokhara Avengers (NPL),Loss,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur",2,Chitwan Rhinos (NPL),Bat,0,1,0,1
S2_M27,Pokhara Avengers (NPL),Chitwan Rhinos (NPL),Win,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur",2,Chitwan Rhinos (NPL),Field,1,0,0,0
S2_M28,Janakpur Bolts (NPL),Karnali Yaks (NPL),Loss,2025-12-07,"Tribhuvan University International Cricket Ground, Kirtipur",2,Janakpur Bolts (NPL),Field,0,1,0,1
S2_M28,Karnali Yaks (NPL),Janakpur Bolts (NPL),Win,2025-12-07,"Tribhuvan University International Cricket Ground, Kirtipur",2,Janakpur Bolts (NPL),Bat,1,0,0,0
S2_M29,Biratnagar Kings (NPL),Sudur Paschim Royals (NPL),Loss,2025-12-09,"Tribhuvan University International Cricket Ground, Kirtipur",2,Biratnagar Kings (NPL),Field,0,1,0,1
S2_M29,Sudur Paschim Royals (NPL),Biratnagar Kings (NPL),Win,2025-12-09,"Tribhuvan University International Cricket Ground, Kirtipur",2,Biratnagar Kings (NPL),Bat,1,0,0,0
S2_M3,Biratnagar Kings (NPL),Pokhara Avengers (NPL),Win,2025-11-18,"Tribhuvan University International Cricket Ground, Kirtipur",2,Pokhara Avengers (NPL),Field,1,0,0,0
S2_M3,Pokhara Avengers (NPL),Biratnagar Kings (NPL),Loss,2025-11-18,"Tribhuvan University International Cricket Ground, Kirtipur",2,Pokhara Avengers (NPL),Field,0,1,0,1
S2_M30,Kathmandu Gurkhas (NPL),Lumbini Lions (NPL),Loss,2025-12-10,"Tribhuvan University International Cricket Ground, Kirtipur",2,Kathmandu Gurkhas (NPL),Bat,0,1,0,1
S2_M30,Lumbini Lions (NPL),Kathmandu Gurkhas (NPL),Win,2025-12-10,"Tribhuvan University International Cricket Ground, Kirtipur",2,Kathmandu Gurkhas (NPL),Field,1,0,0,0
S2_M31,Biratnagar Kings (NPL),Lumbini Lions (NPL),Loss,2025-12-11,"Tribhuvan University International Cricket Ground, Kirtipur",2,Biratnagar Kings (NPL),Field,0,1,0,1
S2_M31,Lumbini Lions (NPL),Biratnagar Kings (NPL),Win,2025-12-11,"Tribhuvan University International Cricket Ground, Kirtipur",2,Biratnagar Kings (NPL),Bat,1,0,0,0
S2_M32,Lumbini Lions (NPL),Sudur Paschim Royals (NPL),Win,2025-12-13,"Tribhuvan University International Cricket Ground, Kirtipur",2,Sudur Paschim Royals (NPL),Field,1,0,0,0
S2_M32,Sudur Paschim Royals (NPL),Lumbini Lions (NPL),Loss,2025-12-13,"Tribhuvan University International Cricket Ground, Kirtipur",2,Sudur Paschim Royals (NPL),Bat,0,1,0,1
S2_M4,Kathmandu Gurkhas (NPL),Sudur Paschim Royals (NPL),Loss,2025-11-19,"Tribhuvan University International Cricket Ground, Kirtipur",2,Kathmandu Gurkhas (NPL),Field,0,1,0,1
S2_M4,Sudur Paschim Royals (NPL),Kathmandu Gurkhas (NPL),Win,2025-11-19,"Tribhuvan University International Cricket Ground, Kirtipur",2,Kathmandu Gurkhas (NPL),Field,1,0,0,0
S2_M5,Chitwan Rhinos (NPL),Lumbini Lions (NPL),Loss,2025-11-20,"Tribhuvan University International Cricket Ground, Kirtipur",2,Lumbini Lions (NPL),Field,0,1,0,0
S2_M5,Lumbini Lions (NPL),Chitwan Rhinos (NPL),Win,2025-11-20,"Tribhuvan University International Cricket Ground, Kirtipur",2,Lumbini Lions (NPL),Field,1,0,0,1
S2_M6,Pokhara Avengers (NPL),Sudur Paschim Royals (NPL),Loss,2025-11-21,"Tribhuvan University International Cricket Ground, Kirtipur",2,Pokhara Avengers (NPL),Field,0,1,0,1
S2_M6,Sudur Paschim Royals (NPL),Pokhara Avengers (NPL),Win,2025-11-21,"Tribhuvan University International Cricket Ground, Kirtipur",2,Pokhara Avengers (NPL),Field,1,0,0,0
S2_M7,Karnali Yaks (NPL),Lumbini Lions (NPL),Win,2025-11-22,"Tribhuvan University International Cricket Ground, Kirtipur",2,Karnali Yaks (NPL),Field,1,0,0,1
S2_M7,Lumbini Lions (NPL),Karnali Yaks (NPL),Loss,2025-11-22,"Tribhuvan University International Cricket Ground, Kirtipur",2,Karnali Yaks (NPL),Field,0,1,0,0
S2_M8,Biratnagar Kings (NPL),Kathmandu Gurkhas (NPL),Win,2025-11-22,"Tribhuvan University International Cricket Ground, Kirtipur",2,Biratnagar Kings (NPL),Field,1,0,0,1
S2_M8,Kathmandu Gurkhas (NPL),Biratnagar Kings (NPL),Loss,2025-11-22,"Tribhuvan University International Cricket Ground, Kirtipur",2,Biratnagar Kings (NPL),Field,0,1,0,0
S2_M9,Biratnagar Kings (NPL),Janakpur Bolts (NPL),Win,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur",2,Janakpur Bolts (NPL),Field,1,0,0,0
S2_M9,Janakpur Bolts (NPL),Biratnagar Kings (NPL),Loss,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur",2,Janakpur Bolts (NPL),Field,0,1,0,1
