Player,Team,Span,Mat,Inns,NO,Runs_bat,HS,Ave_bat,BF,SR_bat,100,50,0,4s,6s,Overs,Mdns,Balls,Runs_bowl,Wkts,BBI,Ave_bowl,Econ,SR_bowl,4w,5w,10w
S Rana,BIK,2025-2025,2,1,0,7,7,7.0,14,50.0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0
Bipin Khatri,POA,2025-2025,6,2,1,7,7*,7.0,8,87.5,0,0,1,1,0,17.2,1,104,115,8,4/15,14.37,6.63,13.0,1,0,0
S Dhakal,POA,2025-2025,6,2,1,7,6,7.0,4,175.0,0,0,0,0,1,14.3,0,87,135,3,2/24,45.0,9.31,29.0,0,0,0
Shahab Alam,KAG,2025-2025,8,4,4,7,4*,-,14,50.0,0,0,0,0,0,28.0,0,168,174,13,6/25,13.38,6.21,12.9,0,1,0
JA Kolsawala,KAY,2025-2025,1,1,0,6,6,6.0,10,60.0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0
D Kandel,KAG,2025-2025,2,1,0,6,6,6.0,51,20.0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0
TJ Draca,LUL,2025-2025,1,1,0,6,6,6.0,4,150.0,0,0,0,1,0,0,0,0,0,0,-,-,-,-,0,0,0
TR Bhandari,LUL,2025-2025,8,2,2,6,6*,-,8,75.0,0,0,0,1,0,27.0,0,162,147,7,3/15,21.0,5.44,23.1,0,0,0
Milan Bohara,SPR,2025-2025,2,1,1,5,5*,-,2,250.0,0,0,0,1,0,0,0,0,0,0,-,-,-,-,0,0,0
NK Yadav,KAY,2025-2025,7,3,2,5,3*,5.0,10,50.0,0,0,0,0,0,25.0,0,150,206,10,3/35,20.6,8.24,15.0,0,0,0
Aakash Chand,POA,2025-2025,5,3,1,5,4,2.5,5,100.0,0,0,1,1,0,14.0,0,84,157,3,2/44,52.33,11.21,28.0,0,0,0
MD Taylor,POA,2025-2025,2,1,0,4,4,4.0,6,66.66,0,0,0,0,0,7.4,0,46,72,4,2/24,18.0,9.39,11.5,0,0,0
R Vasconcelos,KAG,2025-2025,1,1,0,3,3,3.0,4,75.0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0
K Mahato,JAB,2025-2025,4,2,2,3,2*,-,5,60.0,0,0,0,0,0,8.0,0,48,71,1,1/28,71.0,8.87,48.0,0,0,0
R Dhakal,CHR,2025-2025,5,2,1,3,2,3.0,3,100.0,0,0,0,0,0,15.4,0,94,123,3,2/17,41.0,7.85,31.3,0,0,0
D Bohara,SPR,2025-2025,3,2,0,3,3,1.5,4,75.0,0,0,1,0,0,0,0,0,0,0,-,-,-,-,0,0,0
A Bohara,SPR,2025-2025,9,3,1,3,1*,1.5,9,33.33,0,0,0,0,0,26.1,0,157,195,17,4/30,11.47,7.45,9.2,1,0,0
P Shrestha,KAG,2025-2025,1,1,0,2,2,2.0,6,33.33,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0
SK Chettri,POA,2025-2025,2,1,1,2,2*,-,4,50.0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0
UB Singh,KAY,2025-2025,2,1,0,1,1,1.0,2,50.0,0,0,0,0,0,4.0,0,24,40,1,1/24,40.0,10.0,24.0,0,0,0
Sameer Ali,LUL,2025-2025,2,1,0,1,1,1.0,2,50.0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0
R Kumar,CHR,2025-2025,5,2,1,1,1*,1.0,2,50.0,0,0,1,0,0,20.0,0,120,116,8,5/21,14.5,5.8,15.0,0,1,0
GLS Scrimshaw,CHR,2025-2025,1,1,0,-,-,-,1,-,0,0,1,0,0,4.0,0,24,40,1,1/40,40.0,10.0,24.0,0,0,0
Subash Bhandari,BIK,2025-2025,3,1,1,-,0*,-,3,-,0,0,0,0,0,8.0,0,48,44,5,3/14,8.8,5.5,9.6,0,0,0
Y Khatri,KAY,2025-2025,5,1,0,-,-,-,4,-,0,0,1,0,0,11.0,0,66,95,3,1/22,31.66,8.63,22.0,0,0,0
Surya Tamang,BIK,2025-2025,6,2,1,-,0*,-,5,-,0,0,1,0,0,13.0,0,78,100,5,2/20,20.0,7.69,15.6,0,0,0
BP Sharma,KAY,2025-2025,5,2,1,-,0*,-,3,-,0,0,1,0,0,13.0,0,78,88,2,1/19,44.0,6.76,39.0,0,0,0
Sachin Bhatt,JAB,2025-2025,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,4.0,0,24,43,0,-,-,10.75,-,0,0,0
R Chand,POA,2025-2025,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,4.0,0,24,30,1,1/30,30.0,7.5,24.0,0,0,0
